Time (s),Bx (µT),By (µT),Bz (µT),ωy (rad/s),Voltage (mV)
23.65999984741211,4.932751655578613,20.8739070892334,-76.53068542480469,0.3278745710849762,0.007583086844533682
23.670000076293945,4.653476238250732,20.988250732421875,-74.84358215332031,0.10865168273448944,0.006820540875196457
23.68000030517578,3.967907667160034,21.118473052978516,-72.84160614013672,-0.09544339776039124,0.006270742509514093
23.690000534057617,3.3097991943359375,21.122751235961914,-73.33366394042969,-0.305088609457016,0.007060126401484013
23.700000762939453,2.4081716537475586,20.789316177368164,-75.09249877929688,-0.5179217457771301,0.007583521772176027
23.709999084472656,2.355588436126709,21.005361557006836,-72.43464660644531,-0.7241845726966858,0.008364539593458176
23.719999313354492,1.6259667873382568,20.85070037841797,-71.8076400756836,-0.9380477070808411,0.007864939980208874
23.729999542236328,0.30624428391456604,20.702974319458008,-72.98217010498047,-1.1552735567092896,0.007318401243537664
23.739999771118164,-1.1686571836471558,20.687549591064453,-74.82306671142578,-1.3666635751724243,0.007333396002650261
23.75,-1.9200133085250854,20.270753860473633,-75.40934753417969,-1.5770111083984375,0.007060778792947531
23.760000228881836,-4.098127841949463,20.328832626342773,-74.51123809814453,-1.7895560264587402,0.007326007355004549
23.770000457763672,-5.8251953125,20.00291633605957,-74.76775360107422,-1.999842882156372,0.007067732512950897
23.780000686645508,-7.600405216217041,19.729503631591797,-75.01788330078125,-2.206284523010254,0.006802720949053764
23.790000915527344,-9.827597618103027,19.763729095458984,-74.78750610351562,-2.410919427871704,0.006802720949053764
23.799999237060547,-12.532479286193848,19.93044662475586,-75.17835998535156,-2.618173599243164,0.006544120144098997
23.809999465942383,-14.66198444366455,19.8577823638916,-75.00800323486328,-2.824605703353882,0.006538144312798977
23.81999969482422,-17.618330001831055,19.892656326293945,-72.45652770996094,-3.0376503467559814,0.005508630536496639
23.829999923706055,-20.5085391998291,19.668506622314453,-68.57840728759766,-3.246413230895996,0.005480923689901829
23.84000015258789,-23.00893211364746,19.120515823364258,-65.31999206542969,-3.4529716968536377,0.006543685682117939
23.850000381469727,-25.864084243774414,18.70372200012207,-65.90626525878906,-3.659217119216919,0.006538578774780035
23.860000610351562,-29.29928970336914,19.091346740722656,-61.96644592285156,-3.8630950450897217,0.006802720949053764
23.8700008392334,-32.32457733154297,19.030027389526367,-59.96416473388672,-4.068722724914551,0.005765275564044714
23.8799991607666,-35.0388069152832,18.740863800048828,-57.50872802734375,-4.272491455078125,0.0052285161800682545
23.889999389648438,-37.6597900390625,18.554698944091797,-53.85915756225586,-4.474086761474609,0.006275305990129709
23.899999618530273,-40.51494598388672,18.88813591003418,-51.12319564819336,-4.674448013305664,0.006283346097916365
23.90999984741211,-43.80863952636719,18.735031127929688,-47.05648422241211,-4.870494842529297,0.005236556753516197
23.920000076293945,-45.69883346557617,18.447486877441406,-43.235801696777344,-5.067221164703369,0.004449671600013971
23.93000030517578,-47.409423828125,18.233257293701172,-40.17478942871094,-5.2656049728393555,0.004706316627562046
23.940000534057617,-49.272743225097656,18.168954849243164,-36.846771240234375,-5.456258773803711,0.005492984317243099
23.950000762939453,-50.32463836669922,18.168954849243164,-30.202293395996094,-5.654572010040283,0.004975456744432449
23.959999084472656,-52.70269012451172,18.25069236755371,-29.114990234375,-5.847492694854736,0.0041862898506224155
23.969999313354492,-53.676063537597656,17.72344398498535,-25.274856567382812,-6.037185192108154,0.0034049460664391518
23.979999542236328,-54.56366729736328,17.29627799987793,-20.578556060791016,-6.230887413024902,0.0028769876807928085
23.989999771118164,-55.73849105834961,17.252328872680664,-16.2685489654541,-6.422612190246582,0.0031397175043821335
24,-56.339576721191406,17.335689544677734,-12.555458068847656,-6.610179424285889,0.0028789436910301447
24.010000228881836,-56.19807052612305,17.00711441040039,-7.876633644104004,-6.797855854034424,0.002616431098431349
24.020000457763672,-55.714073181152344,16.79709815979004,-3.765091896057129,-6.982460975646973,0.0007894927985034883
24.030000686645508,-55.55678939819336,16.671411514282227,0.1434258073568344,-7.1631975173950195,-0.0007854726281948388
24.040000915527344,-55.49041748046875,16.547344207763672,3.9087932109832764,-7.345793724060059,-0.0005232862313278019
24.049999237060547,-54.288246154785156,16.29726791381836,7.2310333251953125,-7.524099826812744,-0.0015685547841712832
24.059999465942383,-52.786705017089844,16.960573196411133,11.721269607543945,-7.695919036865234,-0.0031392828095704317
24.06999969482422,-51.62122344970703,17.003873825073242,15.485116958618164,-7.8730292320251465,-0.004447606857866049
24.079999923706055,-50.94500732421875,16.670438766479492,18.514219284057617,-8.057744026184082,-0.005494505632668734
24.09000015258789,-50.30372619628906,16.38030242919922,21.202465057373047,-8.23376750946045,-0.006541403941810131
24.100000381469727,-48.65190887451172,16.712766647338867,24.3277587890625,-8.40544605255127,-0.00758786778897047
